Kode Item;Nama Item;Jenis;Jumlah;Satuan;Total Harga;
089686010015;INDOMIE AYAM BAWANG;MNM;200;PCS;544.600;
011100015;TISU PULPIES ROOL;HOME CARE;200;PCS;202.600;
0212;KRESEK 30;HOME CARE;200;PAK;60.000;
711844110144;ABC KECAP REFF 225ML;SMBK;180;PCS;1.262.340;
0277;BERAS RAMOS 2,5 KG;SMBK;180;PCS;6.750.000;
8993496110075;TERIGU TULIP 1 KG;SMBK;180;PCS;1.512.000;
8992946533969;FITRI MINYAK GORENG 800ML;SMBK;180;PCS;3.007.620;
8996001600269;LE MINERALE 600ML;MNM;168;PCS;322.056;
089686010947;INDOMIE GORENG;MKN;160;PCS;456.640;
8996001354124;BENG-BENG 22GR;MKN;136;PCS;285.600;
8998898101409;TOLAK ANGIN CAIR 15ML;P3K;120;PCS;432.840;
8994171101289;LUWAK WHITE KOFFIE;MNM;120;PCS;170.040;
8991906101644;DJARUM COKLAT;ROKOK;60;PCS;925.500;
08999;KOPI SUSU GULA AREN REKANSETIA;MNM;60;PCS;780.000;
8992759254006;JOLLY TOILET ROLL;HOME CARE;60;PCS;106.800;
8998685111130;BOOM PERMEN;MKN;50;PCS;68.100;
025;AQUA GALON REFFIL;MNM;50;PCS;862.500;
8994171101081;LUWAK KOFFIE HITAM SC;MNM;50;PCS;74.100;
0453;BROWNIES BUMI RASA;MKN;50;PCS;250.000;
8994171101968;LUWAK WHITE KOFFIE TARIK MALAKA 30G;MNM;50;PCS;71.650;
8998009010224;ULTRA FC 250ML;MNM;48;PCS;271.200;
8998009010231;ULTRA COKLAT 250ML;MNM;48;PCS;271.200;
8992761139018;ADES 600ML;MNM;48;PCS;119.232;
8998009010248;ULTRA STROBERI 250ML;MNM;48;PCS;271.200;
020101;ROTI AOKA;MKN;44;PCS;154.000;
8992775717004;CLEVO UHT COCOLATE 125ML;MNM;40;PCS;90.000;
0281;YAKULT;MNM;40;PCS;71.200;
8992775717011;CLEVO UHT STRAWBERRY 125ML;MNM;40;PCS;90.000;
089686010527;INDOMIE KARI AYAM;MKN;40;PCS;114.160;
089686011289;INDOMIE KOCOK BANDUNG;MKN;40;PCS;114.160;
011121211;ROTI ADA KRIM BR;MKN;39;PCS;280.800;
8992753031894;FF SKMP 40G;MNM;36;PCS;47.988;
8996001316009;ROMA BONITA KEJU SUSU 30G;MKN;36;PCS;55.800;
1122211122;SNACK LANGGENG;MKN;30;PCS;540.000;
02222001;SNACK MAKARONI DLL BR 5000;MKN;30;PCS;120.000;
8998898101119;STMJ;MNM;30;PCS;84.090;
8992994110143;YAKULT LIGHT;MNM;30;PCS;67.800;
8997878005119;MILKITA PERMEN 1000;MKN;30;PCS;22.500;
0259;TEH TARIK HANAANG CUP;MNM;30;PCS;165.000;
0274;SUCI FOODS KURMA;MKN;26;PCS;520.000;
8999909001909;MAGNUM;ROKOK;25;PCS;621.750;
8996001600726;LE MINERAL GALON 15L;MNM;25;PCS;407.500;
8992112025021;DECOLGEN;P3K;25;PCS;52.000;
8992759535457;NICE ROLL LIVING;HOME CARE;24;PCS;99.984;
8998009040375;TEH KOTAK RASA LECI 200+100ML;MNM;24;PCS;73.200;
8998009050053;SARI KACANG IJO 250ML;MNM;24;PCS;91.704;
8998009010255;ULTRA MOKA 250ML;MNM;24;PCS;135.600;
8996129803504;CLEO 600ML;MNM;24;PCS;48.984;
8998009040368;TEH KOTAK RASA MANGGA 200+100ML;MNM;24;PCS;73.200;
8997009510116;LEMON WATER 500ML;MNM;24;PCS;154.464;
8992716109172;BISKUAT BOLU COKLAT 16G;MKN;24;PCS;48.768;
8999999593384;WALL'S CORNETTO CLASSIC BLACK & WHITE 82ML;ICE CREAM;24;PCS;96.888;
089686060027;POP MIE AYAM;MKN;24;PCS;102.000;
02211111;KERIPIK BAWANG KECIL BR;MKN;24;PCS;120.000;
08;KIMBO SOSIS;MKN;24;PCS;18.696;
8997009510017;YOU C1000 LEMON 140ML;MNM;24;PCS;131.880;
8993379500221;SUNCO 1L;SMBK;24;PCS;475.080;
8992772585026;ADEM SARI CHING KU 350ML;MNM;24;PCS;147.312;
8995177101112;GULAKU PUTIH 1KG;SMBK;24;PCS;408.000;
8992759170580;TISU JOLLY 250S;HOME CARE;24;PCS;165.576;
7622300405588;OREO KRAFT KEJU CAKE 16G;MKN;24;PCS;48.768;
8998866632249;AQUVIVA 250ML;MNM;24;PCS;18.000;
089686060461;POP MIE KARI AYAM;MKN;24;PCS;102.000;
8991906101019;DJARUM SUPER 12;ROKOK;23;PCS;524.450;
02111221111;KERIPIK BAWANG BESAR BR;MKN;22;PCS;264.000;
8994596;YOGHURT MAMAZY 250ML;MKN;20;PCS;160.000;
8999999282202;WALL'S POPULAIRE STRAWBERRY & VANILA;ICE CREAM;20;PCS;80.740;
8997204670349;5 DAYS CROISSANT ANEKA BERRY 60G;MKN;20;PCS;106.840;
8997204670462;5 DAYS CROISSANT CHEESE 60G;MKN;20;PCS;106.840;
0369;KRUPUK RDN BESAR;MKN;20;PCS;80.000;
8993175539210;NEXTAR BROWNIES 42GR;MKN;20;PCS;40.380;
8991115010102;BIG BABOL RASA TUTTI FRUTTI 23G;MKN;20;PCS;40.000;
8997204670547;5 DAYS CROISSANT PANDAN 60 G;MKN;20;PCS;106.840;
0171;YOGHURT JELLY BOTOL 10000;MNM;20;PCS;170.000;
8997204670332;5 DAYS CROISSANT COKLAT 60G;MKN;20;PCS;106.840;
0320;ROTI COY;MKN;20;PCS;50.000;
8999999282196;WALL'S POPULAIRE COKLAT & VANILA;ICE CREAM;20;PCS;80.740;
875692692150;KRUPUK RDN KECIL;MKN;20;PCS;32.000;
8991115011109;BIG BABOL BLUEBERRY;MKN;20;PCS;40.000;
8992907230012;SARI ROTI ISI COKLAT;MKN;18;PCS;64.800;
8998989100120;G.G FILTER 12;ROKOK;18;PCS;436.500;
8888095170417;KANGAROO MIXED NUTS 70G;MKN;18;PCS;142.200;
8998989300155;G.G SIGNATURE;ROKOK;18;PCS;416.700;
010;PASEO PCS;HOME CARE;18;PCS;14.112;
8992907952037;SARI ROTI ISI COKLAT KEJU;MKN;17;PCS;61.200;
8998127921754;DUNHIL FILTER 12;ROKOK;16;PCS;324.800;
8993018702795;KATOM IKAN DORANG 140G;MKN;15;PCS;119.985;
8993996241279;JAZY MAX 12;ROKOK;15;PCS;249.000;
1223311;BERAS JANECOO 5 KG;SMBK;15;PCS;1.095.000;
8992003785843;ZIPLONG PERMEN RASA MINT SC 10GR;MKN;15;PCS;28.125;
8999909028234;DJI SAM SOE 12;ROKOK;15;PCS;277.000;
01211001;KRIPIK KENTANG YAMMI;MKN;15;PCS;270.000;
8998685021002;NANO-NANO ORANGE;MKN;15;PCS;21.435;
8999909096004;SAMPOERNA MILD 16;ROKOK;15;PCS;495.000;
8990800022567;MENTOS ROLL ANGGUR;MKN;14;PCS;33.012;
8992907952327;SARI ROTI SANDWICH COKLAT;MKN;14;PCS;75.600;
8990800022543;MENTOS MINT 29G;MKN;14;PCS;33.012;
89995107885526;PRISTINE GALON REFF 19 LT;MNM;13;PCS;230.100;
8998989501125;G.G MERAH KRETEK 12;ROKOK;13;PCS;188.500;
8993176110074;MKP LANG 60ML;HOME CARE;12;PCS;238.842;
8992761166229;FRESTEA MARKISA 350ML;MNM;12;PCS;37.632;
8996001302637;ROMA MALKIST COKLAT 120G;MKN;12;PCS;70.800;
8888095170110;KANGAROO SALTED PISTACHIOS 70G;MKN;12;PCS;316.800;
8996129800640;CLEO 1500ML;MNM;12;PCS;52.992;
8991998119886;CAFFINO SPANISH LATTE 200ML;MNM;12;PCS;72.156;
