Kode Item;Nama Item;Jenis;Merek;Jumlah;Satuan;Total Harga;
8991002105485;KAPAL API SPECIALMIX;MNM;;207;PCS;310.500;
025;AQUA GALON REFFIL;MNM;;119;PCS;2.499.000;
8996001600849;NIPIS MADU 330 ML;MNM;;104;PCS;416.000;
8993190912210;AMIDIS 600ML;MNM;;97;PCS;291.000;
8996001354124;BENG-BENG 22GR;MKN;;97;PCS;194.000;
089686010947;INDOMIE GORENG;MKN;;90;PCS;315.000;
089686010015;INDOMIE AYAM BAWANG;MNM;;89;PCS;311.500;
8991906101644;DJARUM COKLAT;ROKOK;;85;PCS;1.360.000;
8998898101409;TOLAK ANGIN CAIR 15ML;P3K;;82;PCS;328.000;
8998666001306;TORABIKA CREAMY LATTE;MNM;;74;PCS;111.000;
8996001600269;LE MINERALE 600ML;MNM;;71;PCS;213.000;
8996001414002;TORABIKA CAPPUCINO;MNM;;68;PCS;136.000;
8994171101289;LUWAK WHITE KOFFIE;MNM;;55;PCS;82.500;
8991002101630;ABC SUSU;MNM;;53;PCS;79.500;
8998009010231;ULTRA COKLAT 250ML;MNM;;49;PCS;343.000;
0298;SNACK BAPER;MKN;;49;PCS;122.500;
8992761139018;ADES 600ML;MNM;;47;PCS;141.000;
8998009010224;ULTRA FC 250ML;MNM;;43;PCS;301.000;
0281;YAKULT;MNM;;43;PCS;107.500;
8999510785540;PRISTINE 400ML;MNM;;41;PCS;164.000;
8996006858016;TEH BOTOL 350ML;MNM;;41;PCS;184.500;
8993539146009;MINRAL 600ML;MNM;;40;PCS;120.000;
8993539106003;RON 88 600ML;MNM;;39;PCS;117.000;
044798;MATERAI 10000;ATK;;37;PCS;407.000;
8996001600146;TEH PUCUK HARUM 350ML;MNM;;37;PCS;185.000;
089686010527;INDOMIE KARI AYAM;MKN;;36;PCS;126.000;
8996001355046;SUPERSTAR 18G;MKN;;35;PCS;35.000;
01112211222;SNACK SUCIFOODS 2500;MKN;;35;PCS;87.500;
8991102026352;CRYSTALIN 600 ML;MNM;;33;PCS;99.000;
8993539105006;RON 88 380ML;MNM;;33;PCS;66.000;
