No.;Kd. Item;Nama Item;Jml;Satuan;Harga;Pot. %;Total;
1;0259;TEH TARIK HANAANG CUP;1;PCS;5.500;0;5.500;
1;0369;KRUPUK RDN BESAR;2;PCS;4.000;0;8.000;
2;875692692150;KRUPUK RDN KECIL;5;PCS;1.600;0;8.000;
1;020101;ROTI AOKA;4;PCS;3.500;0;14.000;
2;0320;ROTI COY;9;PCS;2.500;0;22.500;
1;89912345;SNACK MIE YOI BAPER POLL;5;PCS;6.500;0;32.500;
1;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;1;PCS;4.950;0;4.950;
2;8992907952549;SARI ROTI DORAYAKI COKLAT;3;PCS;5.400;0;16.200;
1;0169;SNACK SUCI FOODS BATAGOR KERING;5;PCS;15.000;0;75.000;
1;0259;TEH TARIK HANAANG CUP;7;PCS;5.500;0;38.500;
1;0171;YOGHURT JELLY BOTOL 10000;1;PCS;8.500;0;8.500;
1;0167;PIKDA MA ACAH;2;PCS;3.500;0;7.000;
1;036;TELOR OMEGA ISI 10;2;PCS;24.500;0;49.000;
1;011121211;ROTI ADA KRIM BR;3;PCS;6.750;0;20.250;
1;0369;KRUPUK RDN BESAR;6;PCS;4.000;0;24.000;
2;875692692150;KRUPUK RDN KECIL;5;PCS;1.600;0;8.000;
1;0320;ROTI COY;4;PCS;2.500;0;10.000;
1;0171;YOGHURT JELLY BOTOL 10000;10;PCS;8.500;0;85.000;
1;0295;SNACK MAKARONI MABASA 30G;7;PCS;2.000;0;14.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;1;PCS;5.400;0;5.400;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;1;PCS;5.400;0;5.400;
3;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;6;PCS;4.950;0;29.700;
4;8992907952549;SARI ROTI DORAYAKI COKLAT;2;PCS;5.400;0;10.800;
1;0298;SNACK BAPER;24;PCS;2.000;0;48.000;
1;1122211122;SNACK LANGGENG;13;PCS;18.000;0;234.000;
1;0320;ROTI COY;10;PCS;2.500;0;25.000;
2;020101;ROTI AOKA;9;PCS;3.500;0;31.500;
1;011121211;ROTI ADA KRIM BR;2;PCS;6.750;0;13.500;
1;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;1;PCS;16.200;0;16.200;
2;8992907952327;SARI ROTI SANDWICH COKLAT;1;PCS;5.400;0;5.400;
3;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;3;PCS;4.950;0;14.850;
4;8992907952037;SARI ROTI ISI COKLAT KEJU;1;PCS;3.600;0;3.600;
5;8992907952549;SARI ROTI DORAYAKI COKLAT;2;PCS;5.400;0;10.800;
1;8993176110098;MKP LANG 15ML;20;PCS;5.458;0;109.160;
2;8993176110081;MKP LANG 30ML;8;PCS;9.700;0;77.600;
3;8993176110074;MKP LANG 60ML;1;PCS;18.800;0;18.800;
1;8997014021867;LEMONILO CHIMI JAGUNG BALADO 40G;3;PCS;5.476;0;16.428;
2;8997232970947;LEMONILO CASSAMO SPICY BBQ;3;PCS;5.476;0;16.428;
3;8997222130191;LEMONILO MIE AYAM BAWANG 70G;6;PCS;5.217;0;31.302;
4;8997878700366;LEMONILO MIE GORENG PEDAS KOREA;2;PCS;5.900;0;11.800;
5;8997222130016;LEMONILO MIE GORENG 77G;5;PCS;5.900;0;29.500;
6;8997878700458;MIE LEMONILO SOTO KOYA;10;PCS;5.217;0;52.170;
1;0123123;KERUPUK CIKRUH BR 3000;29;PCS;2.500;0;72.500;
2;01231234;KERUPUK SEBLAK KECIL BR 2000;20;PCS;1.500;0;30.000;
1;0320;ROTI COY;2;PCS;2.500;0;5.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;3;PCS;5.400;0;16.200;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;3;PCS;4.950;0;14.850;
3;8992907230012;SARI ROTI ISI COKLAT;1;PCS;3.150;0;3.150;
4;8992907952037;SARI ROTI ISI COKLAT KEJU;3;PCS;3.600;0;10.800;
1;8992907710019;SARI ROTI SOBEK COKLAT;1;PCS;16.200;0;16.200;
1;8993175548335;NEXTAR STRAWBERRY 112G;1;PCS;6.267;0;6.267;
2;8993175538947;NEXTAR PINEAPPLE 112G;1;PCS;6.105;0;6.105;
1;011121211;ROTI ADA KRIM BR;4;PCS;7.250;0;29.000;
1;0171;YOGHURT JELLY BOTOL 10000;9;PCS;8.500;0;76.500;
1;8992907952327;SARI ROTI SANDWICH COKLAT;1;PCS;5.400;0;5.400;
2;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;1;PCS;4.950;0;4.950;
3;8992907780012;SARI ROTI KASUR KEJU;1;PCS;11.700;0;11.700;
