No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;8992907780012;SARI ROTI KASUR KEJU;;;;;1;PCS;11.700;0;11.700;
2;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;9.900;0;9.900;
1;08999;KOPI SUSU GULA AREN REKANSETIA;;;;;1;PCS;13.000;0;13.000;
1;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;1;PCS;5.400;0;5.400;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;4;PCS;8.500;0;34.000;
1;00003545620;KECAP EXTRA PEDAS 135 ML (IMAN);;;;;18;PCS;13.200;0;237.600;
2;000035545620;KECAP MANIS 135 ML (IMAN);;;;;15;PCS;10.800;0;162.000;
1;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;2;PCS;16.200;0;32.400;
1;0298;SNACK BAPER;;;;;6;PCS;2.000;0;12.000;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.000;0;18.000;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;1;PCS;5.400;0;5.400;
3;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;;;;;2;PCS;16.200;0;32.400;
4;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;
5;8992907996390;SARI ROTI SOBEK DUO COK;;;;;2;PCS;9.000;0;18.000;
6;8992907710019;SARI ROTI SOBEK COKLAT;;;;;1;PCS;16.200;0;16.200;
7;8992907720018;SARI ROTI SOBEK COKLAT KEJU;;;;;1;PCS;16.200;0;16.200;
8;8992907996321;SARI ROTI KASUR KLASIK;;;;;2;PCS;9.900;0;19.800;
1;011121211;ROTI ADA KRIM BR;;;;;3;PCS;7.200;0;21.600;
1;036;TELOR OMEGA ISI 10;;;;;1;PCS;24.500;0;24.500;
1;0179;SNACK SUCI FOODS TALAS;;;;;2;PCS;15.000;0;30.000;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;6;PCS;4.000;0;24.000;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;1;PCS;5.400;0;5.400;
2;8992907953270;SARI ROTI TAWAR SPESIAL JUMBO;;;;;1;PCS;16.200;0;16.200;
3;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;1;PCS;5.400;0;5.400;
4;8992907996390;SARI ROTI SOBEK DUO COK;;;;;1;PCS;9.000;0;9.000;
1;0171;YOGHURT JELLY BOTOL 10000;;;;;5;PCS;8.500;0;42.500;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;2;PCS;5.000;0;10.000;
2;02111221111;KERIPIK BAWANG BESAR BR;;;;;4;PCS;12.000;0;48.000;
1;0555511100;KRIPIK KRIWIL DECONE;;;;;4;PCS;5.000;0;20.000;
1;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;2;PCS;5.400;0;10.800;
2;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;1;PCS;5.400;0;5.400;
3;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;7;PCS;5.400;0;37.800;
1;8994596;YOGHURT MAMAZY 250ML;;;;;10;PCS;8.000;0;80.000;
1;8993175560955;NEXTAR STAR DOUBLE 90 GR;;;;;1;DUS;6.105;0;6.105;
1;0167;PIKDA MA ACAH;;;;;8;PCS;3.500;0;28.000;
1;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;
1;00222111;TELOR OMEGA HAPPY ISI 6;;;;;4;PCS;16.500;0;66.000;
1;8992907996567;SARI CHOCO MILK 110 ML;;;;;28;PCS;2.850;0;79.800;
1;0369;KRUPUK RDN BESAR;;;;;5;PCS;4.000;0;20.000;
2;875692692150;KRUPUK RDN KECIL;;;;;3;PCS;1.600;0;4.800;
1;0104;SNACK GREGET;;;;;13;PCS;7.500;0;97.500;
1;0259;TEH TARIK HANAANG CUP;;;;;5;PCS;5.500;0;27.500;
1;749921011633;NUTRISARI ISOTONIK SC;;;;;49;PCS;1.193;0;58.457;
1;02211111;KERIPIK BAWANG KECIL BR;;;;;2;PCS;5.000;0;10.000;
